Ghost_Name,Algorithm,Search_Time(s),Expanded_Nodes,Memory_Usage(MB),Ghost_Pos_X,Ghost_Pos_Y,Pacman_Pos_X,Pacman_Pos_Y
PinkGhost,DFS,0.008599,150,0.031352,27,1,15,15
RedGhost,A*,0.000993,38,0.017400,27,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,2,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,1,15,15
PinkGhost,DFS,0.008599,150,0.031352,27,1,15,15
RedGhost,A*,0.000993,38,0.017400,27,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,2,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,1,15,15
PinkGhost,DFS,0.008599,150,0.031352,27,1,15,15
RedGhost,A*,0.000993,38,0.017400,26,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,3,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,2,15,15
PinkGhost,DFS,0.008599,150,0.031352,27,2,15,15
RedGhost,A*,0.000993,38,0.017400,26,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,3,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,2,15,15
PinkGhost,DFS,0.008599,150,0.031352,27,2,15,15
RedGhost,A*,0.000993,38,0.017400,26,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,3,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,2,15,15
PinkGhost,DFS,0.008599,150,0.031352,26,2,15,15
RedGhost,A*,0.000993,38,0.017400,25,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,4,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,3,15,15
PinkGhost,DFS,0.008599,150,0.031352,26,2,15,15
RedGhost,A*,0.000993,38,0.017400,25,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,4,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,3,15,15
PinkGhost,DFS,0.008599,150,0.031352,26,2,15,15
RedGhost,A*,0.000993,38,0.017400,25,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,4,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,3,15,15
PinkGhost,DFS,0.008599,150,0.031352,26,3,15,15
RedGhost,A*,0.000993,38,0.017400,24,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,5,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,4,15,15
PinkGhost,DFS,0.008599,150,0.031352,26,3,15,15
RedGhost,A*,0.000993,38,0.017400,24,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,5,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,4,15,15
PinkGhost,DFS,0.008599,150,0.031352,26,3,15,15
RedGhost,A*,0.000993,38,0.017400,24,29,15,15
OrangeGhost,UCS,0.017159,289,0.028392,5,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,2,4,15,15
PinkGhost,DFS,0.008599,150,0.031352,26,4,15,15
RedGhost,A*,0.000993,38,0.017400,24,28,15,15
OrangeGhost,UCS,0.017159,289,0.028392,6,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,3,4,15,15
PinkGhost,DFS,0.008599,150,0.031352,26,4,15,15
RedGhost,A*,0.000993,38,0.017400,24,28,15,15
OrangeGhost,UCS,0.017159,289,0.028392,6,29,15,15
BlueGhost,BFS,0.013034,231,0.026080,3,4,15,15
PinkGhost,DFS,0.035714,443,0.082272,26,4,14,15
RedGhost,A*,0.000000,36,0.016840,24,28,14,15
OrangeGhost,UCS,0.009237,276,0.027672,6,29,14,15
BlueGhost,BFS,0.013034,231,0.026080,3,4,14,15
PinkGhost,DFS,0.035714,443,0.082272,26,5,14,15
RedGhost,A*,0.000000,36,0.016840,24,27,14,15
OrangeGhost,UCS,0.009237,276,0.027672,7,29,14,15
BlueGhost,BFS,0.003299,204,0.024080,4,4,13,15
PinkGhost,DFS,0.013964,278,0.075376,26,5,13,15
RedGhost,A*,0.000998,32,0.016168,24,27,13,15
OrangeGhost,UCS,0.008327,264,0.027072,7,29,13,15
BlueGhost,BFS,0.003998,184,0.023640,4,4,13,15
PinkGhost,DFS,0.013964,278,0.075376,26,5,13,15
RedGhost,A*,0.000998,32,0.016168,24,27,13,15
OrangeGhost,UCS,0.008327,264,0.027072,7,29,13,15
BlueGhost,BFS,0.003998,184,0.023640,5,4,13,15
PinkGhost,DFS,0.013964,278,0.075376,27,5,13,15
RedGhost,A*,0.000998,32,0.016168,24,26,13,15
OrangeGhost,UCS,0.008327,264,0.027072,8,29,13,15
BlueGhost,BFS,0.003998,184,0.023640,5,4,13,15
PinkGhost,DFS,0.013264,247,0.074816,27,5,13,16
RedGhost,A*,0.000000,30,0.015608,24,26,13,16
OrangeGhost,UCS,0.007549,251,0.026136,8,29,13,16
BlueGhost,BFS,0.003998,184,0.023640,5,4,13,16
PinkGhost,DFS,0.013264,247,0.074816,27,4,13,16
RedGhost,A*,0.000000,30,0.015608,24,25,13,16
OrangeGhost,UCS,0.007549,251,0.026136,9,29,13,16
BlueGhost,BFS,0.003996,205,0.023952,6,4,13,16
PinkGhost,DFS,0.034856,441,0.082096,27,4,14,16
RedGhost,A*,0.000904,26,0.010912,24,25,14,16
BlueGhost,BFS,0.003996,205,0.023952,6,4,14,16
OrangeGhost,UCS,0.006613,239,0.025144,9,29,14,16
PinkGhost,DFS,0.034856,441,0.082096,27,4,14,16
RedGhost,A*,0.000904,26,0.010912,24,25,14,16
BlueGhost,BFS,0.004702,222,0.025016,6,4,14,16
OrangeGhost,UCS,0.006613,239,0.025144,9,29,14,16
PinkGhost,DFS,0.004154,154,0.031144,28,4,15,16
RedGhost,A*,0.000944,23,0.010184,24,24,15,16
BlueGhost,BFS,0.004702,222,0.025016,6,5,15,16
OrangeGhost,UCS,0.005508,262,0.026880,10,29,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,4,15,16
RedGhost,A*,0.000944,23,0.010184,24,24,15,16
BlueGhost,BFS,0.006613,234,0.025800,6,5,15,16
OrangeGhost,UCS,0.005508,262,0.026880,10,29,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,4,15,16
RedGhost,A*,0.000944,23,0.010184,24,24,15,16
